model_type,accuracy,weighted_f1,weighted_precision,weighted_recall,train_seconds,n_rows,n_classes
,,,,,,,
gbt_ovr,0.45144343026958184,0.3812978862276204,0.3855479878637408,0.4514434302695818,72.47762107849121,95206,6
random_forest,0.45372532371046487,0.38096088065227285,0.3853194727552406,0.4537253237104649,21.706910371780396,95206,6
decision_tree,0.4419443854807896,0.3765672654051813,0.38357159479995256,0.4419443854807896,3.3104803562164307,95206,6
logistic_regression,0.441042241562301,0.3702779509880789,0.3364628043871158,0.441042241562301,7.010899782180786,95206,6
